state,month,year,tax type,value,fips state,numeric month,note,id
Alabama,October,2021,motor fuel,74235611,1,10,,1_2021_10
Alabama,September,2019,motor fuel,53936438,1,9,,1_2019_9
Alabama,September,2020,motor fuel,67849259,1,9,,1_2020_9
Alabama,September,2021,motor fuel,78220865,1,9,,1_2021_9
Alaska,April,2019,motor fuel,3770030,2,4,,2_2019_4
Alaska,April,2020,motor fuel,2706976,2,4,,2_2020_4
Alaska,April,2021,motor fuel,3380717,2,4,,2_2021_4
Alaska,April,2022,motor fuel,3320705,2,4,,2_2022_4
Alaska,August,2019,motor fuel,5175240,2,8,,2_2019_8
Alaska,August,2020,motor fuel,5450925,2,8,,2_2020_8
Alaska,August,2021,motor fuel,5790478,2,8,,2_2021_8
Alaska,December,2019,motor fuel,3077290,2,12,,2_2019_12
Alaska,December,2020,motor fuel,2975466,2,12,,2_2020_12
Alaska,December,2021,motor fuel,3132670,2,12,,2_2021_12
Alaska,February,2020,motor fuel,3593386,2,2,,2_2020_2
Alaska,February,2021,motor fuel,3135529,2,2,,2_2021_2
Alaska,February,2022,motor fuel,3244081,2,2,,2_2022_2
Alaska,January,2020,motor fuel,3407252,2,1,,2_2020_1
Alaska,January,2021,motor fuel,2904902,2,1,,2_2021_1
Alaska,January,2022,motor fuel,3036054,2,1,,2_2022_1
Alaska,July,2019,motor fuel,6275608,2,7,,2_2019_7
Alaska,July,2020,motor fuel,4245909,2,7,,2_2020_7
Alaska,July,2021,motor fuel,5690988,2,7,,2_2021_7
Alaska,June,2019,motor fuel,3643629,2,6,,2_2019_6
Alaska,June,2020,motor fuel,4372440,2,6,,2_2020_6
Alaska,June,2021,motor fuel,4193122,2,6,,2_2021_6
Alaska,March,2020,motor fuel,3533122,2,3,,2_2020_3
Alaska,March,2021,motor fuel,3622718,2,3,,2_2021_3
Alaska,March,2022,motor fuel,3594661,2,3,,2_2022_3
Alaska,May,2019,motor fuel,4379707,2,5,,2_2019_5
Alaska,May,2020,motor fuel,3214186,2,5,,2_2020_5
Alaska,May,2021,motor fuel,3735531,2,5,,2_2021_5
Alaska,November,2019,motor fuel,3014739,2,11,,2_2019_11
Alaska,November,2020,motor fuel,2780141,2,11,,2_2020_11
Alaska,November,2021,motor fuel,3307966,2,11,,2_2021_11
Alaska,October,2019,motor fuel,4028544,2,10,,2_2019_10
Alaska,October,2020,motor fuel,3699622,2,10,,2_2020_10
Alaska,October,2021,motor fuel,3329627,2,10,,2_2021_10
Alaska,September,2019,motor fuel,4059407,2,9,,2_2019_9
Alaska,September,2020,motor fuel,4142529,2,9,,2_2020_9
Alaska,September,2021,motor fuel,4037472,2,9,,2_2021_9
Arizona,April,2019,motor fuel,66740952,4,4,,4_2019_4
Arizona,April,2020,motor fuel,61570083,4,4,,4_2020_4
Arizona,April,2021,motor fuel,72153656,4,4,,4_2021_4
Arizona,April,2022,motor fuel,72720236,4,4,,4_2022_4
Arizona,August,2019,motor fuel,60102221,4,8,,4_2019_8
Arizona,August,2020,motor fuel,56671360,4,8,,4_2020_8
Arizona,August,2021,motor fuel,67666465,4,8,,4_2021_8
Arizona,December,2019,motor fuel,62440818,4,12,,4_2019_12
Arizona,December,2020,motor fuel,60385133,4,12,,4_2020_12
Arizona,December,2021,motor fuel,66822326,4,12,,4_2021_12
Arizona,February,2020,motor fuel,62784422,4,2,,4_2020_2
Arizona,February,2021,motor fuel,59511248,4,2,,4_2021_2
Arizona,February,2022,motor fuel,60122670,4,2,,4_2022_2
Arizona,January,2020,motor fuel,62440818,4,1,,4_2020_1
Arizona,January,2021,motor fuel,62354396,4,1,,4_2021_1
Arizona,January,2022,motor fuel,65159849,4,1,,4_2022_1
Arizona,July,2019,motor fuel,62477830,4,7,,4_2019_7
Arizona,July,2020,motor fuel,57702010,4,7,,4_2020_7
