state,month,year,tax type,value,fips state,numeric month,note,id
Georgia,January,2020,motor fuel,156109000,13,1,,13_2020_1
Georgia,January,2021,motor fuel,158134000,13,1,,13_2021_1
Georgia,January,2022,motor fuel,169178000,13,1,,13_2022_1
Georgia,July,2019,motor fuel,151855000,13,7,,13_2019_7
Georgia,July,2020,motor fuel,151164000,13,7,,13_2020_7
Georgia,July,2021,motor fuel,160836000,13,7,,13_2021_7
Georgia,June,2019,motor fuel,164441000,13,6,,13_2019_6
Georgia,June,2020,motor fuel,139907000,13,6,,13_2020_6
Georgia,June,2021,motor fuel,57111000,13,6,,13_2021_6
Georgia,March,2020,motor fuel,145294000,13,3,,13_2020_3
Georgia,March,2021,motor fuel,142949000,13,3,,13_2021_3
Georgia,March,2022,motor fuel,155588000,13,3,,13_2022_3
Georgia,May,2019,motor fuel,152843000,13,5,,13_2019_5
Georgia,May,2020,motor fuel,113611000,13,5,,13_2020_5
Georgia,May,2021,motor fuel,170095000,13,5,,13_2021_5
Georgia,November,2019,motor fuel,157575000,13,11,,13_2019_11
Georgia,November,2020,motor fuel,160115000,13,11,,13_2020_11
Georgia,November,2021,motor fuel,173485000,13,11,,13_2021_11
Georgia,October,2019,motor fuel,150916000,13,10,,13_2019_10
Georgia,October,2020,motor fuel,153543000,13,10,,13_2020_10
Georgia,October,2021,motor fuel,167333000,13,10,,13_2021_10
Georgia,September,2019,motor fuel,160936000,13,9,,13_2019_9
Georgia,September,2020,motor fuel,159827000,13,9,,13_2020_9
Georgia,September,2021,motor fuel,174341000,13,9,,13_2021_9
Hawaii,April,2019,motor fuel,7401638,15,4,,15_2019_4
Hawaii,April,2020,motor fuel,6107011,15,4,,15_2020_4
Hawaii,April,2021,motor fuel,8336508,15,4,,15_2021_4
Hawaii,April,2022,motor fuel,9214382,15,4,,15_2022_4
Hawaii,August,2019,motor fuel,9462979,15,8,,15_2019_8
Hawaii,August,2020,motor fuel,7897615,15,8,,15_2020_8
Hawaii,August,2021,motor fuel,9201553,15,8,,15_2021_8
Hawaii,December,2019,motor fuel,9424783,15,12,,15_2019_12
Hawaii,December,2020,motor fuel,7469345,15,12,,15_2020_12
Hawaii,December,2021,motor fuel,8598752,15,12,,15_2021_12
Hawaii,February,2020,motor fuel,9259857,15,2,,15_2020_2
Hawaii,February,2021,motor fuel,7818332,15,2,,15_2021_2
Hawaii,February,2022,motor fuel,8665738,15,2,,15_2022_2
Hawaii,January,2020,motor fuel,9561356,15,1,,15_2020_1
Hawaii,January,2021,motor fuel,8201550,15,1,,15_2021_1
Hawaii,January,2022,motor fuel,8851848,15,1,,15_2022_1
Hawaii,July,2019,motor fuel,2779296,15,7,,15_2019_7
Hawaii,July,2020,motor fuel,7168309,15,7,,15_2020_7
Hawaii,July,2021,motor fuel,9228640,15,7,,15_2021_7
Hawaii,June,2019,motor fuel,7221116,15,6,,15_2019_6
Hawaii,June,2020,motor fuel,4882279,15,6,,15_2020_6
Hawaii,June,2021,motor fuel,8996011,15,6,,15_2021_6
Hawaii,March,2020,motor fuel,9038319,15,3,,15_2020_3
Hawaii,March,2021,motor fuel,7320928,15,3,,15_2021_3
Hawaii,March,2022,motor fuel,8192258,15,3,,15_2022_3
Hawaii,May,2019,motor fuel,7298017,15,5,,15_2019_5
Hawaii,May,2020,motor fuel,4037752,15,5,,15_2020_5
Hawaii,May,2021,motor fuel,8539719,15,5,,15_2021_5
Hawaii,November,2019,motor fuel,9640880,15,11,,15_2019_11
Hawaii,November,2020,motor fuel,7926764,15,11,,15_2020_11
Hawaii,November,2021,motor fuel,8873788,15,11,,15_2021_11
Hawaii,October,2019,motor fuel,9518207,15,10,,15_2019_10
Hawaii,October,2020,motor fuel,6630807,15,10,,15_2020_10
Hawaii,October,2021,motor fuel,8678044,15,10,,15_2021_10
Hawaii,September,2019,motor fuel,17147309,15,9,,15_2019_9
Hawaii,September,2020,motor fuel,7026766,15,9,,15_2020_9
Hawaii,September,2021,motor fuel,9383737,15,9,,15_2021_9
Idaho,April,2019,motor fuel,24600800,16,4,,16_2019_4
Idaho,April,2020,motor fuel,31700670,16,4,,16_2020_4
Idaho,April,2021,motor fuel,26302268,16,4,,16_2021_4
Idaho,April,2022,motor fuel,28269248,16,4,,16_2022_4
Idaho,August,2019,motor fuel,30958243,16,8,,16_2019_8
Idaho,August,2020,motor fuel,31859840,16,8,,16_2020_8
Idaho,August,2021,motor fuel,33669427,16,8,,16_2021_8
Idaho,December,2019,motor fuel,33770586,16,12,,16_2019_12
Idaho,December,2020,motor fuel,42573579,16,12,,16_2020_12
Idaho,December,2021,motor fuel,34564579,16,12,,16_2021_12
Idaho,February,2020,motor fuel,26668834,16,2,,16_2020_2
Idaho,February,2021,motor fuel,29066702,16,2,,16_2021_2
Idaho,February,2022,motor fuel,29340175,16,2,,16_2022_2
Idaho,January,2020,motor fuel,32377834,16,1,,16_2020_1
Idaho,January,2021,motor fuel,22273106,16,1,,16_2021_1
Idaho,January,2022,motor fuel,32005893,16,1,,16_2022_1
Idaho,July,2019,motor fuel,36466826,16,7,,16_2019_7
Idaho,July,2020,motor fuel,39508740,16,7,,16_2020_7
Idaho,July,2021,motor fuel,30750472,16,7,,16_2021_7
Idaho,June,2019,motor fuel,26655643,16,6,,16_2019_6
Idaho,June,2020,motor fuel,22053545,16,6,,16_2020_6
Idaho,June,2021,motor fuel,34596971,16,6,,16_2021_6
Idaho,March,2020,motor fuel,21692301,16,3,,16_2020_3
Idaho,March,2021,motor fuel,31613887,16,3,,16_2021_3
Idaho,March,2022,motor fuel,27727969,16,3,,16_2022_3
Idaho,May,2019,motor fuel,32769452,16,5,,16_2019_5
Idaho,May,2020,motor fuel,22673428,16,5,,16_2020_5
Idaho,May,2021,motor fuel,31037952,16,5,,16_2021_5
Idaho,November,2019,motor fuel,28261717,16,11,,16_2019_11
Idaho,November,2020,motor fuel,28842183,16,11,,16_2020_11
Idaho,November,2021,motor fuel,30002415,16,11,,16_2021_11
Idaho,October,2019,motor fuel,40533457,16,10,,16_2019_10
Idaho,October,2020,motor fuel,34219391,16,10,,16_2020_10
Idaho,October,2021,motor fuel,30610236,16,10,,16_2021_10
Idaho,September,2019,motor fuel,35399032,16,9,,16_2019_9
Idaho,September,2020,motor fuel,35591331,16,9,,16_2020_9
Idaho,September,2021,motor fuel,46153235,16,9,,16_2021_9
Illinois,April,2019,motor fuel,114192883,17,4,,17_2019_4
Illinois,April,2020,motor fuel,186054919,17,4,,17_2020_4
Illinois,April,2021,motor fuel,208412966,17,4,,17_2021_4
Illinois,April,2022,motor fuel,213857874,17,4,,17_2022_4
Illinois,August,2019,motor fuel,215692912,17,8,,17_2019_8
Illinois,August,2020,motor fuel,207208946,17,8,,17_2020_8
Illinois,August,2021,motor fuel,217142086,17,8,,17_2021_8
Illinois,December,2019,motor fuel,215406020,17,12,,17_2019_12
Illinois,December,2020,motor fuel,182648943,17,12,,17_2020_12
Illinois,December,2021,motor fuel,209923304,17,12,,17_2021_12
Illinois,February,2020,motor fuel,203396175,17,2,,17_2020_2
Illinois,February,2021,motor fuel,187614401,17,2,,17_2021_2
Illinois,February,2022,motor fuel,200636128,17,2,,17_2022_2
Illinois,January,2020,motor fuel,214185223,17,1,,17_2020_1
Illinois,January,2021,motor fuel,197021313,17,1,,17_2021_1
Illinois,January,2022,motor fuel,214269207,17,1,,17_2022_1
Illinois,July,2019,motor fuel,119970663,17,7,,17_2019_7
Illinois,July,2020,motor fuel,194024130,17,7,,17_2020_7
Illinois,July,2021,motor fuel,214969887,17,7,,17_2021_7
Illinois,June,2019,motor fuel,113632050,17,6,,17_2019_6
Illinois,June,2020,motor fuel,160091885,17,6,,17_2020_6
Illinois,June,2021,motor fuel,209434335,17,6,,17_2021_6
Illinois,March,2020,motor fuel,193400714,17,3,,17_2020_3
Illinois,March,2021,motor fuel,175873085,17,3,,17_2021_3
Illinois,March,2022,motor fuel,183444369,17,3,,17_2022_3
Illinois,May,2019,motor fuel,112395636,17,5,,17_2019_5
Illinois,May,2020,motor fuel,147899738,17,5,,17_2020_5
Illinois,May,2021,motor fuel,203589546,17,5,,17_2021_5
Illinois,November,2019,motor fuel,226887383,17,11,,17_2019_11
Illinois,November,2020,motor fuel,212636270,17,11,,17_2020_11
Illinois,November,2021,motor fuel,213744740,17,11,,17_2021_11
Illinois,October,2019,motor fuel,210006067,17,10,,17_2019_10
Illinois,October,2020,motor fuel,200374834,17,10,,17_2020_10
Illinois,October,2021,motor fuel,217386657,17,10,,17_2021_10
Illinois,September,2019,motor fuel,219507337,17,9,,17_2019_9
Illinois,September,2020,motor fuel,202233416,17,9,,17_2020_9
Illinois,September,2021,motor fuel,217350101,17,9,,17_2021_9
Indiana,April,2019,motor fuel,130810314,18,4,,18_2019_4
Indiana,April,2020,motor fuel,123102883,18,4,,18_2020_4
Indiana,April,2021,motor fuel,127842224,18,4,,18_2021_4
Indiana,April,2022,motor fuel,137391566,18,4,,18_2022_4
Indiana,August,2019,motor fuel,151678615,18,8,,18_2019_8
Indiana,August,2020,motor fuel,146536145,18,8,,18_2020_8
Indiana,August,2021,motor fuel,138590117,18,8,,18_2021_8
Indiana,December,2019,motor fuel,123542026,18,12,,18_2019_12
Indiana,December,2020,motor fuel,113145603,18,12,,18_2020_12
Indiana,December,2021,motor fuel,136024633,18,12,,18_2021_12
Indiana,February,2020,motor fuel,116328690,18,2,,18_2020_2
Indiana,February,2021,motor fuel,116439201,18,2,,18_2021_2
Indiana,February,2022,motor fuel,122971028,18,2,,18_2022_2
Indiana,January,2020,motor fuel,118302382,18,1,,18_2020_1
Indiana,January,2021,motor fuel,124201783,18,1,,18_2021_1
Indiana,January,2022,motor fuel,132372738,18,1,,18_2022_1
Indiana,July,2019,motor fuel,139357230,18,7,,18_2019_7
Indiana,July,2020,motor fuel,132348242,18,7,,18_2020_7
Indiana,July,2021,motor fuel,131904907,18,7,,18_2021_7
Indiana,June,2019,motor fuel,145870867,18,6,,18_2019_6
Indiana,June,2020,motor fuel,95218257,18,6,,18_2020_6
Indiana,June,2021,motor fuel,134121199,18,6,,18_2021_6
Indiana,March,2020,motor fuel,113103058,18,3,,18_2020_3
Indiana,March,2021,motor fuel,108368593,18,3,,18_2021_3
Indiana,March,2022,motor fuel,113733727,18,3,,18_2022_3
Indiana,May,2019,motor fuel,131361942,18,5,,18_2019_5
Indiana,May,2020,motor fuel,95813868,18,5,,18_2020_5
Indiana,May,2021,motor fuel,127590030,18,5,,18_2021_5
Indiana,November,2019,motor fuel,129222441,18,11,,18_2019_11
Indiana,November,2020,motor fuel,129384086,18,11,,18_2020_11
Indiana,November,2021,motor fuel,131233772,18,11,,18_2021_11
Indiana,October,2019,motor fuel,121919199,18,10,,18_2019_10
Indiana,October,2020,motor fuel,124902122,18,10,,18_2020_10
Indiana,October,2021,motor fuel,135851031,18,10,,18_2021_10
Indiana,September,2019,motor fuel,162648399,18,9,,18_2019_9
Indiana,September,2020,motor fuel,153388688,18,9,,18_2020_9
Indiana,September,2021,motor fuel,141706203,18,9,,18_2021_9
Iowa,April,2019,motor fuel,57351798,19,4,,19_2019_4
Iowa,April,2020,motor fuel,50137158,19,4,,19_2020_4
Iowa,April,2021,motor fuel,58448996,19,4,,19_2021_4
Iowa,April,2022,motor fuel,55613394,19,4,,19_2022_4
Iowa,August,2019,motor fuel,61869919,19,8,,19_2019_8
Iowa,August,2020,motor fuel,59259583,19,8,,19_2020_8
Iowa,August,2021,motor fuel,62929657,19,8,,19_2021_8
Iowa,December,2019,motor fuel,57720595,19,12,,19_2019_12
Iowa,December,2020,motor fuel,51799717,19,12,,19_2020_12
Iowa,December,2021,motor fuel,58965932,19,12,,19_2021_12
Iowa,February,2020,motor fuel,51783545,19,2,,19_2020_2
Iowa,February,2021,motor fuel,45014198,19,2,,19_2021_2
Iowa,February,2022,motor fuel,59763539,19,2,,19_2022_2
Iowa,January,2020,motor fuel,57503505,19,1,,19_2020_1
Iowa,January,2021,motor fuel,60677751,19,1,,19_2021_1
Iowa,January,2022,motor fuel,53883889,19,1,,19_2022_1
Iowa,July,2019,motor fuel,56015256,19,7,,19_2019_7
Iowa,July,2020,motor fuel,54963145,19,7,,19_2020_7
Iowa,July,2021,motor fuel,61501975,19,7,,19_2021_7
Iowa,June,2019,motor fuel,58858327,19,6,,19_2019_6
Iowa,June,2020,motor fuel,48924282,19,6,,19_2020_6
Iowa,June,2021,motor fuel,58204341,19,6,,19_2021_6
Iowa,March,2020,motor fuel,47324362,19,3,,19_2020_3
Iowa,March,2021,motor fuel,47333171,19,3,,19_2021_3
Iowa,March,2022,motor fuel,48722194,19,3,,19_2022_3
Iowa,May,2019,motor fuel,53923751,19,5,,19_2019_5
Iowa,May,2020,motor fuel,48355601,19,5,,19_2020_5
Iowa,May,2021,motor fuel,57591543,19,5,,19_2021_5
Iowa,November,2019,motor fuel,60216214,19,11,,19_2019_11
Iowa,November,2020,motor fuel,63268725,19,11,,19_2020_11
Iowa,November,2021,motor fuel,73375774,19,11,,19_2021_11
Iowa,October,2019,motor fuel,55900965,19,10,,19_2019_10
Iowa,October,2020,motor fuel,58345912,19,10,,19_2020_10
Iowa,October,2021,motor fuel,53830232,19,10,,19_2021_10
Iowa,September,2019,motor fuel,62963332,19,9,,19_2019_9
Iowa,September,2020,motor fuel,60058038,19,9,,19_2020_9
Iowa,September,2021,motor fuel,59418388,19,9,,19_2021_9
Kansas,April,2019,motor fuel,,20,4,,20_2019_4
Kansas,April,2020,motor fuel,,20,4,,20_2020_4
Kansas,April,2021,motor fuel,,20,4,,20_2021_4
Kansas,April,2022,motor fuel,,20,4,,20_2022_4
Kansas,August,2019,motor fuel,,20,8,,20_2019_8
Kansas,August,2020,motor fuel,,20,8,,20_2020_8
Kansas,August,2021,motor fuel,,20,8,,20_2021_8
Kansas,December,2019,motor fuel,,20,12,,20_2019_12
Kansas,December,2020,motor fuel,,20,12,,20_2020_12
Kansas,December,2021,motor fuel,,20,12,,20_2021_12
Kansas,February,2020,motor fuel,,20,2,,20_2020_2
Kansas,February,2021,motor fuel,,20,2,,20_2021_2
Kansas,February,2022,motor fuel,,20,2,,20_2022_2
Kansas,January,2020,motor fuel,,20,1,,20_2020_1
Kansas,January,2021,motor fuel,,20,1,,20_2021_1
Kansas,January,2022,motor fuel,,20,1,,20_2022_1
Kansas,July,2019,motor fuel,,20,7,,20_2019_7
Kansas,July,2020,motor fuel,,20,7,,20_2020_7
Kansas,July,2021,motor fuel,,20,7,,20_2021_7
Kansas,June,2019,motor fuel,,20,6,,20_2019_6
Kansas,June,2020,motor fuel,,20,6,,20_2020_6
Kansas,June,2021,motor fuel,,20,6,,20_2021_6
Kansas,March,2020,motor fuel,,20,3,,20_2020_3
Kansas,March,2021,motor fuel,,20,3,,20_2021_3
Kansas,March,2022,motor fuel,,20,3,,20_2022_3
Kansas,May,2019,motor fuel,,20,5,,20_2019_5
Kansas,May,2020,motor fuel,,20,5,,20_2020_5
Kansas,May,2021,motor fuel,,20,5,,20_2021_5
Kansas,November,2019,motor fuel,,20,11,,20_2019_11
Kansas,November,2020,motor fuel,,20,11,,20_2020_11
Kansas,November,2021,motor fuel,,20,11,,20_2021_11
Kansas,October,2019,motor fuel,,20,10,,20_2019_10
Kansas,October,2020,motor fuel,,20,10,,20_2020_10
Kansas,October,2021,motor fuel,,20,10,,20_2021_10
Kansas,September,2019,motor fuel,,20,9,,20_2019_9
Kansas,September,2020,motor fuel,,20,9,,20_2020_9
Kansas,September,2021,motor fuel,,20,9,,20_2021_9
Kentucky,April,2019,motor fuel,63637490,21,4,,21_2019_4
Kentucky,April,2020,motor fuel,56114521,21,4,,21_2020_4
Kentucky,April,2021,motor fuel,64376951,21,4,,21_2021_4
Kentucky,April,2022,motor fuel,65905183,21,4,,21_2022_4
Kentucky,August,2019,motor fuel,66600678,21,8,,21_2019_8
Kentucky,August,2020,motor fuel,63612460,21,8,,21_2020_8
Kentucky,August,2021,motor fuel,65684731,21,8,,21_2021_8
Kentucky,December,2019,motor fuel,66660893,21,12,,21_2019_12
Kentucky,December,2020,motor fuel,61342223,21,12,,21_2020_12
Kentucky,December,2021,motor fuel,68336506,21,12,,21_2021_12
Kentucky,February,2020,motor fuel,59522994,21,2,,21_2020_2
Kentucky,February,2021,motor fuel,57132896,21,2,,21_2021_2
Kentucky,February,2022,motor fuel,56990446,21,2,,21_2022_2
Kentucky,January,2020,motor fuel,61592132,21,1,,21_2020_1
Kentucky,January,2021,motor fuel,59086444,21,1,,21_2021_1
Kentucky,January,2022,motor fuel,64530150,21,1,,21_2022_1
Kentucky,July,2019,motor fuel,62670993,21,7,,21_2019_7
Kentucky,July,2020,motor fuel,61972924,21,7,,21_2020_7
Kentucky,July,2021,motor fuel,65376785,21,7,,21_2021_7
Kentucky,June,2019,motor fuel,71396352,21,6,,21_2019_6
Kentucky,June,2020,motor fuel,58720958,21,6,,21_2020_6
Kentucky,June,2021,motor fuel,70490087,21,6,,21_2021_6
Kentucky,March,2020,motor fuel,62016305,21,3,,21_2020_3
Kentucky,March,2021,motor fuel,54764835,21,3,,21_2021_3
Kentucky,March,2022,motor fuel,59220921,21,3,,21_2022_3
Kentucky,May,2019,motor fuel,62908704,21,5,,21_2019_5
Kentucky,May,2020,motor fuel,45468619,21,5,,21_2020_5
Kentucky,May,2021,motor fuel,64713614,21,5,,21_2021_5
Kentucky,November,2019,motor fuel,65332077,21,11,,21_2019_11
Kentucky,November,2020,motor fuel,62948588,21,11,,21_2020_11
Kentucky,November,2021,motor fuel,64259497,21,11,,21_2021_11
Kentucky,October,2019,motor fuel,63348039,21,10,,21_2019_10
Kentucky,October,2020,motor fuel,61425224,21,10,,21_2020_10
Kentucky,October,2021,motor fuel,61818224,21,10,,21_2021_10
Kentucky,September,2019,motor fuel,73552918,21,9,,21_2019_9
Kentucky,September,2020,motor fuel,66510868,21,9,,21_2020_9
Kentucky,September,2021,motor fuel,70396578,21,9,,21_2021_9
Louisiana,April,2019,motor fuel,52466454,22,4,,22_2019_4
Louisiana,April,2020,motor fuel,50665688,22,4,,22_2020_4
Louisiana,April,2021,motor fuel,55321830,22,4,,22_2021_4
Louisiana,April,2022,motor fuel,55380147,22,4,,22_2022_4
Louisiana,August,2019,motor fuel,58559846,22,8,,22_2019_8
Louisiana,August,2020,motor fuel,54314955,22,8,,22_2020_8
Louisiana,August,2021,motor fuel,55675354,22,8,,22_2021_8
Louisiana,December,2019,motor fuel,55420405,22,12,,22_2019_12
Louisiana,December,2020,motor fuel,52700809,22,12,,22_2020_12
Louisiana,December,2021,motor fuel,54785130,22,12,,22_2021_12
Louisiana,February,2020,motor fuel,52888612,22,2,,22_2020_2
Louisiana,February,2021,motor fuel,49940688,22,2,,22_2021_2
Louisiana,February,2022,motor fuel,48005517,22,2,,22_2022_2
Louisiana,January,2020,motor fuel,53461058,22,1,,22_2020_1
Louisiana,January,2021,motor fuel,53199444,22,1,,22_2021_1
Louisiana,January,2022,motor fuel,59002560,22,1,,22_2022_1
Louisiana,July,2019,motor fuel,51191125,22,7,,22_2019_7
Louisiana,July,2020,motor fuel,47100021,22,7,,22_2020_7
Louisiana,July,2021,motor fuel,51940889,22,7,,22_2021_7
Louisiana,June,2019,motor fuel,57354368,22,6,,22_2019_6
Louisiana,June,2020,motor fuel,44900918,22,6,,22_2020_6
Louisiana,June,2021,motor fuel,56462225,22,6,,22_2021_6
Louisiana,March,2020,motor fuel,50060839,22,3,,22_2020_3
Louisiana,March,2021,motor fuel,45217910,22,3,,22_2021_3
Louisiana,March,2022,motor fuel,49198882,22,3,,22_2022_3
Louisiana,May,2019,motor fuel,55386838,22,5,,22_2019_5
Louisiana,May,2020,motor fuel,31502425,22,5,,22_2020_5
Louisiana,May,2021,motor fuel,54258237,22,5,,22_2021_5
Louisiana,November,2019,motor fuel,56681245,22,11,,22_2019_11
Louisiana,November,2020,motor fuel,56612092,22,11,,22_2020_11
Louisiana,November,2021,motor fuel,58870786,22,11,,22_2021_11
Louisiana,October,2019,motor fuel,52583965,22,10,,22_2019_10
Louisiana,October,2020,motor fuel,55033507,22,10,,22_2020_10
Louisiana,October,2021,motor fuel,51106552,22,10,,22_2021_10
Louisiana,September,2019,motor fuel,56924465,22,9,,22_2019_9
Louisiana,September,2020,motor fuel,54724524,22,9,,22_2020_9
Louisiana,September,2021,motor fuel,55264167,22,9,,22_2021_9
Maine,April,2019,motor fuel,18170518,23,4,,23_2019_4
Maine,April,2020,motor fuel,15642839,23,4,,23_2020_4
Maine,April,2021,motor fuel,16228215,23,4,,23_2021_4
Maine,April,2022,motor fuel,16955979,23,4,,23_2022_4
Maine,August,2019,motor fuel,21925867,23,8,,23_2019_8
Maine,August,2020,motor fuel,19496186,23,8,,23_2020_8
Maine,August,2021,motor fuel,21378032,23,8,,23_2021_8
Maine,December,2019,motor fuel,19249212,23,12,,23_2019_12
Maine,December,2020,motor fuel,18024399,23,12,,23_2020_12
Maine,December,2021,motor fuel,18499544,23,12,,23_2021_12
Maine,February,2021,motor fuel,16310504,23,2,,23_2021_2
Maine,February,2022,motor fuel,17268880,23,2,,23_2022_2
Maine,January,2020,motor fuel,17653122,23,1,,23_2020_1
Maine,January,2021,motor fuel,16026323,23,1,,23_2021_1
Maine,January,2022,motor fuel,17966034,23,1,,23_2022_1
Maine,July,2019,motor fuel,20272647,23,7,,23_2019_7
Maine,July,2020,motor fuel,17225417,23,7,,23_2020_7
Maine,July,2021,motor fuel,19509205,23,7,,23_2021_7
Maine,June,2019,motor fuel,19880301,23,6,,23_2019_6
Maine,June,2020,motor fuel,15626960,23,6,,23_2020_6
Maine,June,2021,motor fuel,16458922,23,6,,23_2021_6
Maine,March,2020,motor fuel,16889664,23,3,,23_2020_3
Maine,March,2021,motor fuel,15319016,23,3,,23_2021_3
Maine,March,2022,motor fuel,16100639,23,3,,23_2022_3
Maine,May,2019,motor fuel,17152153,23,5,,23_2019_5
Maine,May,2020,motor fuel,12194945,23,5,,23_2020_5
Maine,May,2021,motor fuel,17586565,23,5,,23_2021_5
Maine,November,2019,motor fuel,20282731,23,11,,23_2019_11
Maine,November,2020,motor fuel,18611044,23,11,,23_2020_11
Maine,November,2021,motor fuel,18478745,23,11,,23_2021_11
Maine,October,2019,motor fuel,16086972,23,10,,23_2019_10
Maine,October,2020,motor fuel,18700678,23,10,,23_2020_10
Maine,October,2021,motor fuel,19493441,23,10,,23_2021_10
Maine,September,2019,motor fuel,25804412,23,9,,23_2019_9
Maine,September,2020,motor fuel,19872939,23,9,,23_2020_9
Maine,September,2021,motor fuel,21617574,23,9,,23_2021_9
Maryland,April,2019,motor fuel,96137451,24,4,,24_2019_4
Maryland,April,2020,motor fuel,60078473,24,4,,24_2020_4
Maryland,April,2021,motor fuel,123636237,24,4,,24_2021_4
Maryland,April,2022,motor fuel,44948683,24,4,,24_2022_4
Maryland,August,2019,motor fuel,107725570,24,8,,24_2019_8
Maryland,August,2020,motor fuel,89107662,24,8,,24_2020_8
Maryland,August,2021,motor fuel,88104338,24,8,,24_2021_8
Maryland,December,2019,motor fuel,99360219,24,12,,24_2019_12
Maryland,December,2020,motor fuel,79015398,24,12,,24_2020_12
Maryland,December,2021,motor fuel,88188550,24,12,,24_2021_12
Maryland,February,2020,motor fuel,93365995,24,2,,24_2020_2
Maryland,February,2021,motor fuel,67553611,24,2,,24_2021_2
Maryland,February,2022,motor fuel,81938145,24,2,,24_2022_2
Maryland,January,2020,motor fuel,98421848,24,1,,24_2020_1
Maryland,January,2021,motor fuel,71763758,24,1,,24_2021_1
Maryland,January,2022,motor fuel,92134037,24,1,,24_2022_1
Maryland,July,2019,motor fuel,100621238,24,7,,24_2019_7
Maryland,July,2020,motor fuel,85770156,24,7,,24_2020_7
Maryland,July,2021,motor fuel,88997745,24,7,,24_2021_7
Maryland,June,2019,motor fuel,105733374,24,6,,24_2019_6
Maryland,June,2020,motor fuel,58753277,24,6,,24_2020_6
Maryland,June,2021,motor fuel,98912538,24,6,,24_2021_6
Maryland,March,2020,motor fuel,76999235,24,3,,24_2020_3
Maryland,March,2021,motor fuel,58776417,24,3,,24_2021_3
Maryland,March,2022,motor fuel,81232082,24,3,,24_2022_3
Maryland,May,2019,motor fuel,95527032,24,5,,24_2019_5
Maryland,May,2020,motor fuel,62387555,24,5,,24_2020_5
Maryland,May,2021,motor fuel,85569898,24,5,,24_2021_5
Maryland,November,2019,motor fuel,101590178,24,11,,24_2019_11
Maryland,November,2020,motor fuel,85617745,24,11,,24_2020_11
Maryland,November,2021,motor fuel,88530474,24,11,,24_2021_11
Maryland,October,2019,motor fuel,96559933,24,10,,24_2019_10
Maryland,October,2020,motor fuel,78355727,24,10,,24_2020_10
Maryland,October,2021,motor fuel,98132005,24,10,,24_2021_10
Maryland,September,2019,motor fuel,103208791,24,9,,24_2019_9
Maryland,September,2020,motor fuel,89107662,24,9,,24_2020_9
Maryland,September,2021,motor fuel,101345655,24,9,,24_2021_9
Massachusetts,April,2019,motor fuel,63756591,25,4,,25_2019_4
Massachusetts,April,2020,motor fuel,50822686,25,4,,25_2020_4
Massachusetts,April,2021,motor fuel,56628210,25,4,,25_2021_4
Massachusetts,April,2022,motor fuel,58881912,25,4,,25_2022_4
Massachusetts,August,2019,motor fuel,67714235,25,8,,25_2019_8
Massachusetts,August,2020,motor fuel,56448688,25,8,,25_2020_8
Massachusetts,August,2021,motor fuel,62014105,25,8,,25_2021_8
Massachusetts,December,2019,motor fuel,63453866,25,12,,25_2019_12
Massachusetts,December,2020,motor fuel,52841872,25,12,,25_2020_12
Massachusetts,December,2021,motor fuel,59991192,25,12,,25_2021_12
Massachusetts,February,2020,motor fuel,61406648,25,2,,25_2020_2
Massachusetts,February,2021,motor fuel,50975192,25,2,,25_2021_2
Massachusetts,February,2022,motor fuel,52960571,25,2,,25_2022_2
Massachusetts,January,2020,motor fuel,63848833,25,1,,25_2020_1
Massachusetts,January,2021,motor fuel,54411062,25,1,,25_2021_1
Massachusetts,January,2022,motor fuel,60562087,25,1,,25_2022_1
Massachusetts,July,2019,motor fuel,65207934,25,7,,25_2019_7
Massachusetts,July,2020,motor fuel,53628494,25,7,,25_2020_7
Massachusetts,July,2021,motor fuel,62779970,25,7,,25_2021_7
Massachusetts,June,2019,motor fuel,67238690,25,6,,25_2019_6
Massachusetts,June,2020,motor fuel,44992595,25,6,,25_2020_6
Massachusetts,June,2021,motor fuel,61180336,25,6,,25_2021_6
Massachusetts,March,2020,motor fuel,56306014,25,3,,25_2020_3
Massachusetts,March,2021,motor fuel,48467498,25,3,,25_2021_3
Massachusetts,March,2022,motor fuel,54098151,25,3,,25_2022_3
Massachusetts,May,2019,motor fuel,62049984,25,5,,25_2019_5
Massachusetts,May,2020,motor fuel,34702719,25,5,,25_2020_5
Massachusetts,May,2021,motor fuel,55542024,25,5,,25_2021_5
Massachusetts,November,2019,motor fuel,67309882,25,11,,25_2019_11
Massachusetts,November,2020,motor fuel,58045720,25,11,,25_2020_11
Massachusetts,November,2021,motor fuel,62740104,25,11,,25_2021_11
Massachusetts,October,2019,motor fuel,63352754,25,10,,25_2019_10
Massachusetts,October,2020,motor fuel,56123058,25,10,,25_2020_10
Massachusetts,October,2021,motor fuel,62951619,25,10,,25_2021_10
Massachusetts,September,2019,motor fuel,68758878,25,9,,25_2019_9
Massachusetts,September,2020,motor fuel,58640109,25,9,,25_2020_9
Massachusetts,September,2021,motor fuel,61771679,25,9,,25_2021_9
Michigan,April,2019,motor fuel,120853742,26,4,,26_2019_4
Michigan,April,2020,motor fuel,103677245,26,4,,26_2020_4
Michigan,April,2021,motor fuel,130834656,26,4,,26_2021_4
Michigan,April,2022,motor fuel,120819302,26,4,,26_2022_4
Michigan,August,2019,motor fuel,126804536,26,8,,26_2019_8
