Year,Sex,Cohort,State,Drivers
2017,Male,18,Georgia,47011
2017,Male,18,Hawaii,4119
2017,Male,18,Idaho,10174
2017,Male,18,Illinois,60832
2017,Male,18,Indiana,30498
2017,Male,18,Iowa,18013
2017,Male,18,Kansas,16437
2017,Male,18,Kentucky,12877
2017,Male,18,Louisiana,21254
2017,Male,18,Maine,5286
2017,Male,18,Maryland,22188
2017,Male,18,Massachusetts,26542
2017,Male,18,Michigan,46392
2017,Male,18,Minnesota,23934
2017,Male,18,Mississippi,15421
2017,Male,18,Missouri,28859
2017,Male,18,Montana,5059
2017,Male,18,Nebraska,9615
2017,Male,18,Nevada,9092
2017,Male,18,New Hampshire,6695
2017,Male,18,New Jersey,42792
2017,Male,18,New Mexico,8354
2017,Male,18,New York,50261
2017,Male,18,North Carolina,42250
2017,Male,18,North Dakota,3635
2017,Male,18,Ohio,51046
2017,Male,18,Oklahoma,20745
2017,Male,18,Oregon,15490
2017,Male,18,Pennsylvania,50413
2017,Male,18,Rhode Island,3878
2017,Male,18,South Carolina,26029
2017,Male,18,South Dakota,4841
2017,Male,18,Tennessee,34222
2017,Male,18,Texas,101540
2017,Male,18,Utah,19134
2017,Male,18,Vermont,2828
2017,Male,18,Virginia,34849
2017,Male,18,Washington,30854
2017,Male,18,West Virginia,6264
2017,Male,18,Wisconsin,27685
2017,Male,18,Wyoming,3221
2017,Male,19,Alabama,30723
2017,Male,19,Alaska,3431
2017,Male,19,Arizona,33091
2017,Male,19,Arkansas,20056
2017,Male,19,California,191465
2017,Male,19,Colorado,28391
2017,Male,19,Connecticut,16970
2017,Male,19,Delaware,5285
2017,Male,19,District of Columbia,297
2017,Male,19,Florida,93003
2017,Male,19,Georgia,53160
2017,Male,19,Hawaii,4953
2017,Male,19,Idaho,10002
2017,Male,19,Illinois,65204
2017,Male,19,Indiana,34137
2017,Male,19,Iowa,18382
2017,Male,19,Kansas,17171
2017,Male,19,Kentucky,18797
2017,Male,19,Louisiana,22704
2017,Male,19,Maine,5883
2017,Male,19,Maryland,26100
2017,Male,19,Massachusetts,32538
2017,Male,19,Michigan,53170
2017,Male,19,Minnesota,24470
2017,Male,19,Mississippi,16767
2017,Male,19,Missouri,31665
2017,Male,19,Montana,5470
2017,Male,19,Nebraska,10874
2017,Male,19,Nevada,11619
2017,Male,19,New Hampshire,7464
2017,Male,19,New Jersey,46880
2017,Male,19,New Mexico,9794
2017,Male,19,New York,60140
2017,Male,19,North Carolina,50079
2017,Male,19,North Dakota,4101
2017,Male,19,Ohio,56996
2017,Male,19,Oklahoma,21453
2017,Male,19,Oregon,17816
2017,Male,19,Pennsylvania,57983
2017,Male,19,Rhode Island,4814
2017,Male,19,South Carolina,27113
2017,Male,19,South Dakota,4985
2017,Male,19,Tennessee,36911
2017,Male,19,Texas,130620
2017,Male,19,Utah,20335
2017,Male,19,Vermont,3046
2017,Male,19,Virginia,39017
2017,Male,19,Washington,36718
2017,Male,19,West Virginia,6411
2017,Male,19,Wisconsin,28386
2017,Male,19,Wyoming,3321
2017,Male,20,Alabama,31469
2017,Male,20,Alaska,3763
2017,Male,20,Arizona,35918
2017,Male,20,Arkansas,20821
2017,Male,20,California,216724
2017,Male,20,Colorado,29706
2017,Male,20,Connecticut,18460
2017,Male,20,Delaware,5451
2017,Male,20,District of Columbia,519
2017,Male,20,Florida,99766
2017,Male,20,Georgia,56474
2017,Male,20,Hawaii,5851
2017,Male,20,Idaho,9865
2017,Male,20,Illinois,66065
2017,Male,20,Indiana,35973
2017,Male,20,Iowa,18483
2017,Male,20,Kansas,17194
2017,Male,20,Kentucky,21431
2017,Male,20,Louisiana,23520
2017,Male,20,Maine,6285
2017,Male,20,Maryland,28345
2017,Male,20,Massachusetts,36436
2017,Male,20,Michigan,56167
2017,Male,20,Minnesota,23724
2017,Male,20,Mississippi,16681
2017,Male,20,Missouri,32541
2017,Male,20,Montana,5662
2017,Male,20,Nebraska,11751
2017,Male,20,Nevada,12684
2017,Male,20,New Hampshire,7896
2017,Male,20,New Jersey,49619
2017,Male,20,New Mexico,10476
2017,Male,20,New York,67535
2017,Male,20,North Carolina,53552
2017,Male,20,North Dakota,4294
2017,Male,20,Ohio,59600
2017,Male,20,Oklahoma,21315
2017,Male,20,Oregon,18364
2017,Male,20,Pennsylvania,60252
2017,Male,20,Rhode Island,5204
2017,Male,20,South Carolina,27720
2017,Male,20,South Dakota,4755
2017,Male,20,Tennessee,38845
2017,Male,20,Texas,140531
2017,Male,20,Utah,20524
2017,Male,20,Vermont,3277
2017,Male,20,Virginia,39306
2017,Male,20,Washington,40420
2017,Male,20,West Virginia,5870
2017,Male,20,Wisconsin,30096
2017,Male,20,Wyoming,3363
2017,Male,21,Alabama,32688
2017,Male,21,Alaska,3649
2017,Male,21,Arizona,38561
2017,Male,21,Arkansas,20959
2017,Male,21,California,228002
2017,Male,21,Colorado,29951
2017,Male,21,Connecticut,19596
2017,Male,21,Delaware,5646
2017,Male,21,District of Columbia,711
2017,Male,21,Florida,104999
2017,Male,21,Georgia,56852
2017,Male,21,Hawaii,6486
2017,Male,21,Idaho,10028
2017,Male,21,Illinois,63953
2017,Male,21,Indiana,37839
2017,Male,21,Iowa,18810
2017,Male,21,Kansas,16047
2017,Male,21,Kentucky,21617
2017,Male,21,Louisiana,23787
2017,Male,21,Maine,6613
2017,Male,21,Maryland,30237
2017,Male,21,Massachusetts,34351
2017,Male,21,Michigan,54606
2017,Male,21,Minnesota,26931
2017,Male,21,Mississippi,16438
2017,Male,21,Missouri,33430
2017,Male,21,Montana,5360
2017,Male,21,Nebraska,10853
2017,Male,21,Nevada,14031
2017,Male,21,New Hampshire,7580
2017,Male,21,New Jersey,49570
2017,Male,21,New Mexico,9438
2017,Male,21,New York,71849
2017,Male,21,North Carolina,55096
2017,Male,21,North Dakota,4667
2017,Male,21,Ohio,58936
2017,Male,21,Oklahoma,21945
2017,Male,21,Oregon,19845
2017,Male,21,Pennsylvania,65323
2017,Male,21,Rhode Island,5589
2017,Male,21,South Carolina,27391
2017,Male,21,South Dakota,4609
2017,Male,21,Tennessee,37995
2017,Male,21,Texas,146345
2017,Male,21,Utah,20408
2017,Male,21,Vermont,3460
2017,Male,21,Virginia,42430
2017,Male,21,Washington,41651
2017,Male,21,West Virginia,6852
2017,Male,21,Wisconsin,31035
2017,Male,21,Wyoming,3048
2017,Male,22,Alabama,32606
2017,Male,22,Alaska,4130
